usuario,item,rating
3219,100201024,30
2150,100101009,500
326,100102010,12
2610,100201024,20
980,150100117,77
544,100102010,20
1017,180220033,12
3849,100610024,10
2212,100101043,20
429,160203015,1
4105,100101008,30
4105,100201024,27
2828,100101009,20
2060,100221024,4
177,160501016,10
2400,100101008,50
365,110200102,294
1053,110200102,16
171,230100101,1
646,100522011,6
376,100610024,4
316,100221024,5
3658,150300163,30
2071,160205016,77
330,100102010,51
306,190350035,14
381,200111033,12
387,100102010,52
1607,160218016,28
840,150100117,16
1666,150100117,16
386,100101009,6
1270,110200102,22
1720,100201007,4
246,140160030,5
389,100102010,50
321,110200102,2
1949,200111033,12
3936,100101009,10
2518,100101008,50
2212,100101006,10
411,100610024,140
369,100101009,240
812,150100117,18
1919,200111037,2
3124,100201024,70
1720,260200134,1
274,160201015,2
2351,100122011,16
386,100102010,57
2205,100102010,125
426,150100117,49
706,100102010,160
167,110200102,1
402,190340011,26
2222,100101009,30
2491,160204016,3
1607,160100116,12
984,100101008,6
646,100201024,15
686,150100117,8
712,100221024,10
3501,200232033,20
2619,100101009,5
1941,161000123,10
423,110200102,10
491,250124023,92
1475,100201007,729
1607,161000123,1
617,100101009,271
429,160203016,81
617,100101008,80
805,150100117,43
1565,100101008,15
324,110200102,4
2020,110200102,20
853,100221024,2
270,150300112,14
2732,100201007,16
920,100201024,210
3196,100101008,20
1285,100102010,165
1405,160204016,5
177,160500116,22
1088,100610024,13
427,100221024,1
641,100201007,40
1945,160500116,11
1300,110200102,8
2024,150100117,8
778,100201007,117
1904,100102010,88
808,100201024,250
1515,150100117,11
338,150100117,246
548,100201024,32
2068,100101059,3
312,100102010,216
2393,160201016,42
747,100102010,50
3500,100101009,100
1617,100221024,2
1617,160203016,52
3156,190340011,25
757,100610024,130
920,100201007,100
541,100110011,1
847,110200102,19
351,170214016,2
245,100201007,36
520,100201007,679
2222,100201007,30
713,110200111,2
1475,100221024,6
402,160203015,1
3141,100201024,665
4054,100101043,100
1170,100221024,1
2651,100610024,8
838,100102010,210
3017,100201007,100
509,150100117,79
1939,100102010,18
1642,250201033,6
2625,100201024,10
130,100102010,175
254,170233016,4
352,100201007,155
2229,100102010,75
1607,110200102,33
